,Crypto,Stock,Bond,Exchange Rate,Commodity,Real Estate
Variance,56.82845008273175,0.41558671823708937,1.2451568848675127,0.02505228220473674,0.7091708546432545,0.1875644152153
Skewness,0.41709815522232413,-0.5883936771461609,-0.21955658104811163,-0.12288760937816658,-0.523364494969154,-0.38768916957097677
Kurtosis,50.25460628562122,16.03436074503935,24.446769804588907,3.7240902213439093,8.603819181438112,7.837874199886223
Stable_alpha,1.1821899689775661,1.8958046418296968,1.8082870389669337,1.9695526817775364,1.9385883760360687,1.9459651370325153
Stable_gamma,0.18914533998665392,0.019770694269078196,0.028471848636061364,0.0046704827597717,0.022836890525957734,0.01368253698081055
Q_0_05,-0.20882630986316694,-0.02879351217517763,-0.037505095001578996,-0.0073893061669346,-0.034315096609411365,-0.0222232385775104
Q_0_025,-0.32071279273717135,-0.038532335788375664,-0.0528445345031153,-0.009242456332242754,-0.04537428995254073,-0.02930079345647745
Q_0_01,-0.5382735863344453,-0.05396145296173274,-0.08037957387536322,-0.012019250290762491,-0.06091575892113152,-0.0371355425336092
Q_0_005,-0.744072438312053,-0.06964839559508416,-0.10285105077457457,-0.01440619100768966,-0.07531722969457878,-0.044011292315280504
CTE_0_05,-0.4269036200981977,-0.04667851356897542,-0.0652536408468851,-0.010427228891900361,-0.05291561560961811,-0.0329364239616219
CTE_0_025,-0.5979021671802711,-0.060305047799940156,-0.08596081046599159,-0.012637378831987055,-0.06673986078995392,-0.0404056198488551
CTE_0_01,-0.8822746651785437,-0.08338981166788377,-0.11945987452788147,-0.01592126783691961,-0.08886782704736618,-0.051511515911335654
CTE_0_005,-1.131581954440972,-0.10557064574463906,-0.14956515410793797,-0.018611435757849678,-0.11067368237138218,-0.06261838433577445
Q_0_95,0.2095313869356005,0.02791489503762728,0.0390186934688806,0.007390716687562915,0.034457396242657395,0.0196803659393783
Q_0_975,0.33347714823522706,0.03671419729449322,0.05695908562684505,0.0094695478933164,0.04490846096631754,0.02625782155311095
Q_0_99,0.5615785998093423,0.05112945666097554,0.08423601339684848,0.012155957065337761,0.06325621604957994,0.036929828895827146
Q_0_995,0.7768134751461074,0.06581838044772008,0.10546556433247302,0.014128536671251708,0.07821005933512568,0.045108880717429495
CTE_0_95,0.4434421738291369,0.043858540167244574,0.0693848115601827,0.010441855299083508,0.052076279893751125,0.0305952943398251
CTE_0_975,0.6256561380832543,0.05597222731345784,0.09223498774327171,0.0126060693500274,0.06510568208653672,0.0388630434815149
CTE_0_99,0.9272778652382436,0.07596884793003396,0.12696343868749957,0.015493383808233953,0.08435712059490652,0.05083168007558085
CTE_0_995,1.1922886261407661,0.0939599222693076,0.16152371368100374,0.017912082846245254,0.09855865685715624,0.06061091186800205
ACF_Lag1,-0.176051582095152,-0.03509677681219589,0.09812509066755604,-0.0007928989058940997,0.007702883446527878,0.02257760913927575
Hurst,0.49836524124799514,0.528700237549687,0.5969879354027511,0.5452541072133107,0.5641701028572007,0.546616535024635
FIGARCH_d,0.5382029022129831,0.24249078398429758,0.53346848181559,0.2692307747609632,0.31669938407743525,0.4999999548704843
