Date,Asset,Type,Q_0_005,Q_0_01,Q_0_025,Q_0_05,Q_0_95,Q_0_975,Q_0_99,Q_0_995,CTE_0_005,CTE_0_01,CTE_0_025,CTE_0_05,CTE_0_95,CTE_0_975,CTE_0_99,CTE_0_995,FIGARCH_d,Stable_alpha,Stable_gamma,Variance,Skewness,Kurtosis,ACF_Lag1,Hurst
2019-12-06,bitcoin-plus,Crypto,-0.6155225920967288,-0.4872608284586655,-0.3413988967606911,-0.23670604749344806,0.2749878162112841,0.39282194094281947,0.5641583360583863,0.6923748406611294,-0.895001054639044,-0.7351199647544653,-0.5476222196985543,-0.4184907261681477,0.48945086199088006,0.6503711854446085,0.9285521137547055,1.193072597900331,0.11347565819210287,1.28,0.06685319881154243,0.037806951770431085,2.4712729691368316,39.404715909003656,-0.1990151475110238,0.5307173299791235
2019-12-06,infinitecoin,Crypto,-1.43275801313771,-1.20464881546418,-0.5885694287159342,-0.25951475342868285,0.2698970981045356,0.6603929831166814,1.2554718163680145,1.4575050248969865,-1.654468164238807,-1.5069057764239946,-1.1714331542918475,-0.7724937539518767,0.8567431173259799,1.3084306121175795,1.711735990141979,2.0170218731667937,0.49702627564041196,1.104,0.048877651099278115,0.10101439292614404,1.2625962292637607,24.54762162343893,-0.30867047281910664,0.43423544631132915
2019-12-06,whitecoin,Crypto,-0.34578845488125676,-0.2895252981342318,-0.24223763642781562,-0.16266728764381416,0.18150411492334148,0.26244901116740593,0.44539972887580287,0.5923032920718497,-0.6550515530582494,-0.4997706110544942,-0.363028913362911,-0.27784492085952,0.3578069577744362,0.4989885990717986,0.7121843540781482,0.871456747356719,0.08299667963213521,1.335,0.047478810223951624,0.01897957291009866,0.40048485017462643,28.412369019087777,-0.1330683522683688,0.624527394316023
2019-12-06,syscoin,Crypto,-0.2805969714332811,-0.22874000696900218,-0.17752244595355943,-0.13250080839416067,0.15783423936494176,0.2418139784712782,0.3284831485749138,0.3636238103605181,-0.3522003759134179,-0.30271645093959276,-0.24356373075891005,-0.19657781156315832,0.26048893397062495,0.3319741349802143,0.39845201558774945,0.4448916660805334,0.3059741146241319,1.439,0.0446864115383378,0.009240713859856881,0.754994891620019,4.794384669009384,0.011439839122771477,0.6371022644938164
2019-12-06,maxcoin,Crypto,-1.3387619980475913,-1.2138188299784922,-0.8172474566396363,-0.4443204795398027,0.4824649146029268,0.8028551786240673,1.1664744276678245,1.35253761532365,-1.867698398200807,-1.5854301330318137,-1.2326151238813097,-0.9141052139552986,0.9254221362457234,1.206043303028609,1.589570308926609,1.8858734826267252,0.5198704049665003,0.962,0.0700394616270128,0.12951202604681175,0.0249617430752971,35.30680578592895,-0.4212244857724043,0.4690754572220762
2019-12-06,counterparty,Crypto,-0.450774761448301,-0.2875104890472845,-0.2065312888819152,-0.1520440276285321,0.17104067329339864,0.22420754255567643,0.3542339260955166,0.5116444250238423,-1.2656579170031208,-0.8236600087528271,-0.48900745604833884,-0.3326666791164291,0.3753740023561661,0.5528960377174406,0.947390834423788,1.4048158823556685,0.2946488882941399,1.437,0.049601198780255255,0.033720089760464846,0.0077988190193737,83.08624544270198,-0.345922395218012,0.5835375367383939
2019-12-06,digitalnote,Crypto,-0.3293645532383448,-0.2716516378678018,-0.21020909121275033,-0.1667896373209837,0.17778135244406598,0.24652043272231652,0.3466039145408857,0.4934842971452167,-0.3915905142895825,-0.3451021854008023,-0.28482972593835454,-0.23559568739594502,0.30832323386047733,0.4075106570908376,0.56994642618472,0.721494172835418,0.4144822585888317,1.36,0.049564401564042744,0.013478637892084935,1.9076978230493462,16.42440400055638,-0.11526169319816075,0.6203204418428219
2019-12-06,nav-coin,Crypto,-0.32076264320121356,-0.2970523537750429,-0.1938386522305429,-0.1484371857072066,0.18206523344629064,0.26164522541263785,0.38524739210131753,0.508673700605689,-0.4827049225193913,-0.4011070407982312,-0.30893302387117616,-0.24050923500492535,0.3364129664263145,0.4567137060741683,0.6659667647447258,0.8699360089101015,0.39834840585164943,1.406,0.04922312112406621,0.01608127226871503,2.440619196941218,31.902198734192595,-0.16444732173755844,0.6002213317480068
2019-12-06,phoenixcoin,Crypto,-0.855901198892688,-0.4826988075152494,-0.2618997171294007,-0.19969668858315304,0.22688064536137043,0.3600951099767774,0.6095256326730579,0.8488838408959672,-1.6655390637123613,-1.1979653218464033,-0.6983324774226778,-0.46532812299996806,0.5205152044231431,0.7581617235905554,1.1750671490731095,1.6005979444433027,0.6999983757599205,0.934,0.030857420597557063,0.052808078492880196,-0.269543037231059,64.42157206292784,-0.12094645487335728,0.5511187920387616
2019-12-06,blackcoin,Crypto,-0.4362563736882199,-0.3890927204679971,-0.22679748644270487,-0.15305679870990607,0.15289827827717947,0.23867900029634945,0.3889014231975567,0.4767586534715381,-0.5464744743597822,-0.48610831471439625,-0.3654637230716715,-0.27665666775949127,0.3001712324879696,0.4092637121177481,0.5334138581863755,0.6255099860532646,0.3574618039718018,1.334,0.040669425095559875,0.013121274054619745,0.43122831051456584,9.951819864864945,-0.20780388968686986,0.5625682809309261
2019-12-06,terracoin,Crypto,-1.094867233215846,-0.527433164428646,-0.29753718217644426,-0.20749328686210328,0.2270128330884301,0.3446854609651897,0.5684139767829947,1.535247106637654,-1.9774901622062682,-1.3894779720833361,-0.8207212577173711,-0.5349385938846815,0.5773072053930024,0.8752825223344887,1.4696043206111873,2.102226047613175,0.6233212735310005,1.342,0.05939129516075039,0.06982075445190668,0.4339890313156075,47.9417419163953,-0.3435523561301622,0.4424762721151627
