Date,S&P Cryptocurrency Broad Digital Market Index (USD)
2017/2/28,100
2017/3/1,102.93
2017/3/2,108.62
2017/3/3,108.78
2017/3/6,108.92
2017/3/7,105.78
2017/3/8,98.74
2017/3/9,102.54
2017/3/10,109.4
2017/3/13,110.7
2017/3/14,111.7
2017/3/15,114.09
2017/3/16,111.46
2017/3/17,109.48
2017/3/20,101.91
2017/3/21,107.3
2017/3/22,99.19
2017/3/23,101.76
2017/3/24,100.31
2017/3/27,103.09
2017/3/28,104.05
2017/3/29,106.15
2017/3/30,106.15
2017/3/31,109.15
2017/4/3,113.76
2017/4/4,113.43
2017/4/5,113.31
2017/4/6,115.52
2017/4/7,116.33
2017/4/10,117.75
2017/4/11,118.68
2017/4/12,120.08
2017/4/13,118.2
2017/4/14,118.24
2017/4/17,119.2
2017/4/18,120.44
2017/4/19,120.71
2017/4/20,122.56
2017/4/21,124.04
2017/4/24,126.29
2017/4/25,128.6
2017/4/26,132.32
2017/4/27,137.65
2017/4/28,139.85
2017/5/1,152.2
2017/5/2,156.61
2017/5/3,161.45
2017/5/4,173.29
2017/5/5,173.58
2017/5/8,187.72
2017/5/9,193.03
2017/5/10,197.39
2017/5/11,201.86
2017/5/12,187.52
2017/5/15,196.45
2017/5/16,204.29
2017/5/17,214.71
2017/5/18,218.53
2017/5/19,232.03
2017/5/22,266.55
2017/5/23,274.66
2017/5/24,304.11
2017/5/25,293.57
2017/5/26,280.52
2017/5/29,289.84
2017/5/30,288.63
2017/5/31,301.19
2017/6/1,310.27
2017/6/2,310.61
2017/6/5,342.96
2017/6/6,361.57
2017/6/7,357.89
2017/6/8,353.02
2017/6/9,368.16
2017/6/12,373.21
2017/6/13,407.63
2017/6/14,381.38
2017/6/15,342.41
2017/6/16,374.46
2017/6/19,385.13
2017/6/20,400.52
2017/6/21,367.49
2017/6/22,380.13
2017/6/23,385.73
2017/6/26,300.41
2017/6/27,324.84
2017/6/28,363.23
2017/6/29,357.18
2017/6/30,346.46
2017/7/3,347.07
2017/7/4,346.75
2017/7/5,351.78
2017/7/6,346.45
2017/7/7,329.87
2017/7/10,302.88
2017/7/11,277.82
2017/7/12,304.03
2017/7/13,288.54
2017/7/14,274.03
2017/7/17,260.39
2017/7/18,303.56
2017/7/19,273.71
2017/7/20,323.81
2017/7/21,318.71
2017/7/24,337.16
2017/7/25,298.92
2017/7/26,298.55
2017/7/27,306.7
2017/7/28,314.64
2017/7/31,323.99
2017/8/1,334.22
2017/8/2,325.19
2017/8/3,335.28
2017/8/4,336.76
2017/8/7,396.41
2017/8/8,414.38
2017/8/9,407
2017/8/10,417.06
2017/8/11,422.81
2017/8/14,466.71
2017/8/15,445.99
2017/8/16,472.06
2017/8/17,472.43
2017/8/18,456.39
2017/8/21,467.2
2017/8/22,472.06
2017/8/23,475.95
2017/8/24,487.15
2017/8/25,494.11
2017/8/28,509.43
2017/8/29,538.08
2017/8/30,542.06
2017/8/31,560.73
2017/9/1,580.74
2017/9/4,512.23
2017/9/5,511.58
2017/9/6,533.95
2017/9/7,531.19
2017/9/8,478.62
2017/9/11,478.06
2017/9/12,475
2017/9/13,435.93
2017/9/14,377.69
2017/9/15,418.05
2017/9/18,456.57
2017/9/19,443.7
2017/9/20,448.18
2017/9/21,408.48
2017/9/22,406.33
2017/9/25,448.41
2017/9/26,445.69
2017/9/27,476.28
2017/9/28,469.13
2017/9/29,466.01
2017/10/2,483.32
2017/10/3,469.5
2017/10/4,465.19
2017/10/5,479.89
2017/10/6,481.09
2017/10/9,505.59
2017/10/10,516.28
2017/10/11,516.52
2017/10/12,548.77
2017/10/13,577.14
2017/10/16,593.8
2017/10/17,580.24
2017/10/18,552.37
2017/10/19,571.49
2017/10/20,600.36
2017/10/23,577.93
2017/10/24,574.24
2017/10/25,566.62
2017/10/26,581.93
2017/10/27,572.09
2017/10/30,599.89
2017/10/31,617.94
2017/11/1,630.71
2017/11/2,652.73
2017/11/3,680.62
2017/11/6,668.07
2017/11/7,661.63
2017/11/8,692.3
2017/11/9,692.68
2017/11/10,624.29
2017/11/13,634.96
2017/11/14,662.15
2017/11/15,699.71
2017/11/16,738.64
2017/11/17,735.21
2017/11/20,791.88
2017/11/21,793.32
2017/11/22,794.39
2017/11/23,813.44
2017/11/24,829.86
2017/11/27,947.14
2017/11/28,968.17
2017/11/29,916.27
2017/11/30,924.09
2017/12/1,1038.17
2017/12/4,1089.7
