Date,S&P U.S. Aggregate Bond Index
2014/12/31,182.02
2015/1/2,182.44
2015/1/5,182.94
2015/1/6,183.48
2015/1/7,183.47
2015/1/8,183.12
2015/1/9,183.49
2015/1/12,183.83
2015/1/13,183.91
2015/1/14,184.21
2015/1/15,184.73
2015/1/16,184.19
2015/1/20,184.37
2015/1/21,184.05
2015/1/22,183.92
2015/1/23,184.46
2015/1/26,184.35
2015/1/27,184.42
2015/1/28,185.08
2015/1/29,184.91
2015/1/30,185.47
2015/2/2,185.49
2015/2/3,184.78
2015/2/4,184.8
2015/2/5,184.66
2015/2/6,183.81
2015/2/9,183.82
2015/2/10,183.53
2015/2/11,183.54
2015/2/12,183.66
2015/2/13,183.43
2015/2/17,182.73
2015/2/18,183.26
2015/2/19,183.02
2015/2/20,182.94
2015/2/23,183.43
2015/2/24,184.03
2015/2/25,184.14
2015/2/26,183.78
2015/2/27,184
2015/3/2,183.49
2015/3/3,183.26
2015/3/4,183.33
2015/3/5,183.44
2015/3/6,182.51
2015/3/9,182.85
2015/3/10,183.26
2015/3/11,183.4
2015/3/12,183.46
2015/3/13,183.33
2015/3/16,183.5
2015/3/17,183.67
2015/3/18,184.55
2015/3/19,184.29
2015/3/20,184.64
2015/3/23,184.75
2015/3/24,185.08
2015/3/25,184.77
2015/3/26,184.17
2015/3/27,184.63
2015/3/30,184.6
2015/3/31,184.79
2015/4/1,185.32
2015/4/2,185.03
2015/4/3,185.55
2015/4/6,185.14
2015/4/7,185.28
2015/4/8,185.29
2015/4/9,184.87
2015/4/10,184.9
2015/4/13,185.1
2015/4/14,185.36
2015/4/15,185.4
2015/4/16,185.48
2015/4/17,185.65
2015/4/20,185.37
2015/4/21,185.27
2015/4/22,184.83
2015/4/23,185.02
2015/4/24,185.28
2015/4/27,185.26
2015/4/28,184.8
2015/4/29,184.4
2015/4/30,184.29
2015/5/1,183.81
2015/5/4,183.63
2015/5/5,183.39
2015/5/6,182.94
2015/5/7,183.32
2015/5/8,183.69
2015/5/11,182.79
2015/5/12,182.85
2015/5/13,182.71
2015/5/14,183.02
2015/5/15,183.7
2015/5/18,183.11
2015/5/19,182.75
2015/5/20,182.85
2015/5/21,183.29
2015/5/22,183.02
2015/5/26,183.59
2015/5/27,183.63
2015/5/28,183.71
2015/5/29,183.86
2015/6/1,183.26
2015/6/2,182.71
2015/6/3,182
2015/6/4,182.44
2015/6/5,181.75
2015/6/8,181.95
2015/6/9,181.6
2015/6/10,181.16
2015/6/11,181.89
2015/6/12,181.84
2015/6/15,181.95
2015/6/16,182.23
2015/6/17,182.32
2015/6/18,182.12
2015/6/19,182.67
2015/6/22,181.94
2015/6/23,181.63
2015/6/24,181.92
2015/6/25,181.75
2015/6/26,181.21
2015/6/29,182.25
2015/6/30,182.15
2015/7/1,181.56
2015/7/2,181.89
2015/7/6,182.69
2015/7/7,182.96
2015/7/8,183.2
2015/7/9,182.49
2015/7/10,181.71
2015/7/13,181.62
2015/7/14,181.89
2015/7/15,182.26
2015/7/16,182.28
2015/7/17,182.37
2015/7/20,182.16
2015/7/21,182.4
2015/7/22,182.52
2015/7/23,182.85
2015/7/24,182.86
2015/7/27,183.14
2015/7/28,182.95
2015/7/29,182.77
2015/7/30,182.88
2015/7/31,183.33
2015/8/3,183.73
2015/8/4,183.17
2015/8/5,182.8
2015/8/6,183.09
2015/8/7,183.45
2015/8/10,183.02
2015/8/11,183.73
2015/8/12,183.66
2015/8/13,183.26
2015/8/14,183.02
2015/8/17,183.29
2015/8/18,183.01
2015/8/19,183.51
2015/8/20,183.78
2015/8/21,183.97
2015/8/24,184.14
2015/8/25,183.33
2015/8/26,182.91
2015/8/27,183.05
2015/8/28,183.01
2015/8/31,182.88
2015/9/1,183.14
2015/9/2,182.93
2015/9/3,183.2
2015/9/4,183.51
2015/9/8,183.09
2015/9/9,183.27
2015/9/10,183.02
2015/9/11,183.31
2015/9/14,183.36
2015/9/15,182.53
2015/9/16,182.45
2015/9/17,183.3
2015/9/18,183.89
2015/9/21,183.27
2015/9/22,183.82
2015/9/23,183.71
2015/9/24,183.82
2015/9/25,183.51
2015/9/28,183.94
2015/9/29,184.12
2015/9/30,184.03
2015/10/1,184.17
2015/10/2,184.61
2015/10/5,184.22
2015/10/6,184.43
2015/10/7,184.34
2015/10/8,184.03
2015/10/9,184.11
2015/10/13,184.51
2015/10/14,185.02
2015/10/15,184.76
2015/10/16,184.75
2015/10/19,184.75
2015/10/20,184.46
2015/10/21,184.8
2015/10/22,184.97
2015/10/23,184.61
2015/10/26,184.85
2015/10/27,185.05
2015/10/28,184.54
2015/10/29,183.96
2015/10/30,184.13
2015/11/2,183.97
2015/11/3,183.71
2015/11/4,183.58
2015/11/5,183.51
2015/11/6,182.86
2015/11/9,182.73
2015/11/10,182.9
2015/11/12,182.88
2015/11/13,183.18
2015/11/16,183.24
2015/11/17,183.32
2015/11/18,183.3
2015/11/19,183.52
2015/11/20,183.37
2015/11/23,183.45
2015/11/24,183.49
2015/11/25,183.53
2015/11/27,183.61
2015/11/30,183.68
2015/12/1,184.23
2015/12/2,184.09
2015/12/3,182.96
2015/12/4,183.4
2015/12/7,183.79
2015/12/8,183.64
2015/12/9,183.78
2015/12/10,183.54
2015/12/11,184.18
2015/12/14,183.4
2015/12/15,183.12
2015/12/16,182.96
2015/12/17,183.34
2015/12/18,183.6
2015/12/21,183.61
2015/12/22,183.27
2015/12/23,183.05
2015/12/24,183.22
2015/12/28,183.39
2015/12/29,182.79
2015/12/30,182.86
2015/12/31,183.1
2016/1/4,183.41
2016/1/5,183.35
2016/1/6,183.92
2016/1/7,184.09
2016/1/8,184.29
2016/1/11,184.04
2016/1/12,184.44
2016/1/13,184.77
2016/1/14,184.39
2016/1/15,184.79
2016/1/19,184.68
2016/1/20,184.87
2016/1/21,184.67
2016/1/22,184.52
2016/1/25,184.7
2016/1/26,184.85
2016/1/27,184.83
2016/1/28,184.95
2016/1/29,185.35
2016/2/1,185.05
2016/2/2,185.74
2016/2/3,185.55
2016/2/4,185.71
2016/2/5,185.75
2016/2/8,186.42
2016/2/9,186.35
2016/2/10,186.57
2016/2/11,186.76
2016/2/12,186.02
2016/2/16,185.85
2016/2/17,185.67
2016/2/18,186.19
2016/2/19,186.21
2016/2/22,186.17
2016/2/23,186.35
2016/2/24,186.34
2016/2/25,186.65
2016/2/26,186.21
2016/2/29,186.42
2016/3/1,185.86
2016/3/2,185.92
2016/3/3,186.15
2016/3/4,185.91
2016/3/7,185.85
2016/3/8,186.42
2016/3/9,186.05
2016/3/10,185.91
2016/3/11,185.73
2016/3/14,185.98
2016/3/15,186.02
2016/3/16,186.42
2016/3/17,186.75
2016/3/18,187.04
2016/3/21,186.73
2016/3/22,186.67
