Date,Dow Jones Commodity Index
2014/12/31,560.54
2015/1/2,557.83
2015/1/5,557.18
2015/1/6,557
2015/1/7,553.69
2015/1/8,553.87
2015/1/9,554.39
2015/1/12,544.27
2015/1/13,540.09
2015/1/14,545.06
2015/1/15,541.17
2015/1/16,549.7
2015/1/20,540.23
2015/1/21,546.21
2015/1/22,540.24
2015/1/23,537.59
2015/1/26,535.87
2015/1/27,538.16
2015/1/28,532.8
2015/1/29,525.78
2015/1/30,537.34
2015/2/2,541.03
2015/2/3,557.05
2015/2/4,543.94
2015/2/5,549.23
2015/2/6,551.07
2015/2/9,557.74
2015/2/10,550.13
2015/2/11,548.36
2015/2/12,557.78
2015/2/13,566.1
2015/2/17,563.93
2015/2/18,560.22
2015/2/19,559.78
2015/2/20,557.16
2015/2/23,551.37
2015/2/24,553.1
2015/2/25,557.04
2015/2/26,553.13
2015/2/27,560.31
2015/3/2,552.69
2015/3/3,554.09
2015/3/4,554.26
2015/3/5,552.71
2015/3/6,548.24
2015/3/9,547.56
2015/3/10,540.87
2015/3/11,543
2015/3/12,541.8
2015/3/13,533.58
2015/3/16,531.03
2015/3/17,528.5
2015/3/18,534.73
2015/3/19,533.82
2015/3/20,542.94
2015/3/23,546.76
2015/3/24,546.31
2015/3/25,548.28
2015/3/26,553.39
2015/3/27,543.72
2015/3/30,543.11
2015/3/31,536.93
2015/4/1,546.7
2015/4/2,544.48
2015/4/6,552.29
2015/4/7,555.36
2015/4/8,544.54
2015/4/9,543.24
2015/4/10,548.2
2015/4/13,546.69
2015/4/14,550.92
2015/4/15,560.33
2015/4/16,565.46
2015/4/17,563.06
2015/4/20,559.75
2015/4/21,557.29
2015/4/22,556.51
2015/4/23,561.12
2015/4/24,560.83
2015/4/27,561.51
2015/4/28,563.84
2015/4/29,569.82
2015/4/30,574.59
2015/5/1,572.28
2015/5/4,573.9
2015/5/5,580.39
2015/5/6,578.95
2015/5/7,571.67
2015/5/8,576.67
2015/5/11,573.34
2015/5/12,580.63
2015/5/13,582.38
2015/5/14,584.7
2015/5/15,583.83
2015/5/18,582.49
2015/5/19,569.71
2015/5/20,570.27
2015/5/21,575.14
2015/5/22,567.7
2015/5/26,558.32
2015/5/27,554.49
2015/5/28,554.91
2015/5/29,558.38
2015/6/1,558.85
2015/6/2,564.81
2015/6/3,558.47
